id,title,section_number,hierarchy,hyperlink,text
CLC-11,Establishment and Organization: Full-time occupation,11,Canada Labour Code / PART I-Industrial Relations / DIVISION II-Canada Industrial Relations Board,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339626,"Section 11 (1) The full-time members of the Board must not hold any other employment or office in respect of which they receive any remuneration. Marginal note: Part-time occupation (2) A part-time Vice-Chairperson, or a member appointed pursuant to paragraph 9(2)(e), must not hold any other employment or office in respect of which they receive any remuneration and that is inconsistent with their duties under this Act. R.S., 1985, c. L-2, s. 11 1998, c. 26, s. 2 Marginal note: Reappointment"
CLC-12,Establishment and Organization: Reappointment | Appointment of external adjudicator,12,Canada Labour Code / PART I-Industrial Relations / DIVISION II-Canada Industrial Relations Board,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339633,"Section 12 (1) A member of the Board is eligible for reappointment on the expiration of any term of office in the same or another capacity. Marginal note: Completion of duties (2) Where a member of the Board ceases to be a member of the Board for any reason other than removal, the member may, despite anything in this Part, at the request of the Chairperson, carry out and complete any duties or responsibilities that the member would otherwise have had if the member had not ceased to be a member, in connection with any matter that came before the Board while the member was still a member of the Board and in respect of which there was any proceeding in which the member participated as a member. R.S., 1985, c. L-2, s. 12 1998, c. 26, s. 2 Marginal note: Appointment of external adjudicator Section 12.001 (1) The Chairperson may, if the Chairperson considers it advisable, appoint an external adjudicator to determine any matter that comes before the Board under Part II, III or IV. Marginal note: Powers, duties and functions (2) An external adjudicator has all the powers, duties and functions that are conferred on the Board by this Act with respect to any matter for which they have been appointed. Marginal note: Decision of external adjudicator (3) An order or decision made or a direction issued by an external adjudicator under this Act is deemed to be an order or decision made or a direction issued by the Board, as the case may be. Marginal note: Remuneration and expenses (4) An external adjudicator shall be paid the remuneration and the fees that may be fixed by the Chairperson and is entitled to be paid reasonable travel and living expenses incurred by them in the course of their duties while absent from their ordinary place of residence. 2017, c. 20, s. 322 Previous Version Marginal note: Functions of Chairperson"
CLC-12.01,Establishment and Organization: Functions of Chairperson,12.01,Canada Labour Code / PART I-Industrial Relations / DIVISION II-Canada Industrial Relations Board,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339640,"Section 12.01 (1) The Chairperson has supervision over and direction of the work of the Board, including (a) the assignment and reassignment of matters that the Board is seized of to panels; (b) the composition of panels and the assignment of Vice-Chairpersons to preside over panels; (c) the determination of the date, time and place of hearings; (d) the conduct of the work of the Board; and (e) the management of the Board’s internal affairs. (f) [Repealed, 2014, c. 20, s. 416] Marginal note: Delegation (2) The Chairperson may delegate to a Vice-Chairperson any of the Chairperson’s powers, duties and functions under subsection (1). (3) [Repealed, 2014, c. 20, s. 416] 1998, c. 26, s. 2 2014, c. 20, s. 416 Previous Version Marginal note: Meetings"
CLC-12.02,Establishment and Organization: Meetings | Acting Chairperson,12.02,Canada Labour Code / PART I-Industrial Relations / DIVISION II-Canada Industrial Relations Board,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339654,"Section 12.02 (1) The Chairperson convenes and presides over any meeting of the Board concerning the making of regulations under section 15. Marginal note: Quorum (2) For the purposes of subsection (1), the following persons constitute a quorum: (a) subject to paragraph (b), the Chairperson, two Vice-Chairpersons and two other members representing, respectively, employees and employers; or (b) at a meeting held for the making of regulations respecting matters that are not governed by Part I, the Chairperson, two Vice-Chairpersons and, if two or more full-time members have been appointed under paragraph 9(2)(e), two of those members. Marginal note: Equal representation (3) If, at a meeting referred to in subsection (1) held for the making of regulations respecting matters that are governed by Part I, there is an unequal number of members representing employers and employees, the Chairperson shall designate an equal number of members who are authorized to vote on the making of those regulations and who represent employers and employees respectively. Marginal note: Members not permitted to vote (4) Members who represent employees or employers are not permitted to vote on the making of regulations respecting matters that are not governed by Part I. 1998, c. 26, s. 2 2017, c. 20, s. 323 Previous Version Marginal note: Acting Chairperson Section 12.03 If the Chairperson of the Board is absent or unable to act or the office of Chairperson is vacant, a Vice-Chairperson designated by the Minister acts as Chairperson for the time being, and a Vice-Chairperson so designated has and may exercise all the powers and perform all the duties and functions of the Chairperson. 1998, c. 26, s. 2 Marginal note: Remuneration"
CLC-12.04,Establishment and Organization: Remuneration | Compensation | Limitation of liability | Inquiries,12.04,Canada Labour Code / PART I-Industrial Relations / DIVISION II-Canada Industrial Relations Board,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339667,"Section 12.04 (1) The full-time members of the Board shall be paid any remuneration, and the part-time members of the Board and members of the Board carrying out duties and responsibilities under subsection 12(2) shall be paid any fees, that may be fixed by the Governor in Council. Marginal note: Travel and living expenses (2) The members of the Board are entitled to be paid reasonable travel and living expenses incurred by them in the course of their duties under this Act while absent from, in the case of full-time members, their ordinary place of work and, in the case of part-time members and members carrying out duties and responsibilities under subsection 12(2), their ordinary place of residence. 1998, c. 26, s. 2 Marginal note: Compensation Section 12.05 Each member of the Board is deemed to be an employee for the purposes of the Government Employees Compensation Act and to be employed in the federal public administration for the purposes of any regulations made under section 9 of the Aeronautics Act . 1998, c. 26, s. 2 2003, c. 22, s. 224(E) Previous Version Marginal note: Limitation of liability Section 12.051 The Chairperson, Vice-Chairpersons, other members and external adjudicators are not personally liable, either civilly or criminally, for anything done or omitted to be done by them in good faith in the exercise or purported exercise of any power, or in the performance or purported performance of any duty or function, conferred on them under this Act. 2017, c. 20, s. 324 Previous Version Marginal note: Inquiries Section 12.06 The Chairperson may request the Minister to decide whether any member of the Board should be subject to remedial or disciplinary measures for any reason set out in paragraphs 12.14(2)(a) to (d). 1998, c. 26, s. 2 Marginal note: Measures"
CLC-12.07,Establishment and Organization: Measures | Appointment of inquirer | Powers | Staff,12.07,Canada Labour Code / PART I-Industrial Relations / DIVISION II-Canada Industrial Relations Board,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339686,"Section 12.07 On receipt of the request, the Minister may take one or more of the following measures: (a) obtain, in an informal and expeditious manner, any information that the Minister considers necessary; (b) refer the matter for mediation, where the Minister is satisfied that the issues in relation to the request may be appropriately resolved by mediation; (c) request the Governor in Council to have an inquiry held under section 12.08; or (d) advise the Chairperson that the Minister considers that it is not necessary to take further measures under this section. 1998, c. 26, s. 2 Marginal note: Appointment of inquirer Section 12.08 On receipt of a request referred to in paragraph 12.07(c), the Governor in Council may, on the recommendation of the Minister of Justice, appoint a judge of a superior court to conduct the inquiry. 1998, c. 26, s. 2 Marginal note: Powers Section 12.09 The judge has all the powers, rights and privileges that are vested in a superior court, including the power (a) to issue a summons requiring any person to appear at the time and place mentioned in the summons to testify about all matters within that person’s knowledge relative to the inquiry and to produce any document or thing relative to the inquiry; and (b) to administer oaths and examine any person on oath. 1998, c. 26, s. 2 Marginal note: Staff Section 12.10 The judge may engage the services of counsel and other persons having technical or specialized knowledge to assist the judge in conducting the inquiry, establish the terms and conditions of their engagement and, with the approval of the Treasury Board, fix and pay their remuneration and expenses. 1998, c. 26, s. 2 Marginal note: Inquiry in public"
CLC-12.11,Establishment and Organization: Inquiry in public | Rules of evidence | Right to be heard,12.11,Canada Labour Code / PART I-Industrial Relations / DIVISION II-Canada Industrial Relations Board,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339708,"Section 12.11 (1) Subject to subsections (2) and (3), an inquiry must be conducted in public. Marginal note: Confidentiality of inquiry (2) The judge may, on application, take any appropriate measures and make any order that the judge considers necessary to ensure the confidentiality of the inquiry if, after having considered all available alternate measures, the judge is satisfied that (a) there is a real and substantial risk that matters involving public security will be disclosed; (b) there is a real and substantial risk to the fairness of the inquiry such that the need to prevent disclosure outweighs the societal interest that the inquiry be conducted in public; or (c) there is a serious possibility that the life, liberty or security of a person will be endangered. Marginal note: Confidentiality of application (3) Where the judge considers it appropriate, the judge may take any measures and make any order that the judge considers necessary to ensure the confidentiality of a hearing held in respect of an application under subsection (2). 1998, c. 26, s. 2 Marginal note: Rules of evidence Section 12.12 (1) In conducting an inquiry, the judge is not bound by any legal or technical rules of evidence and may receive, and base a decision on, evidence presented in the proceedings that the judge considers credible or trustworthy in the circumstances of the case. Marginal note: Intervenors (2) An interested party may, with leave of the judge, intervene in an inquiry on the terms and conditions that the judge considers appropriate. 1998, c. 26, s. 2 Marginal note: Right to be heard Section 12.13 The member who is the subject of the inquiry must be given reasonable notice of the subject-matter of the inquiry and of the time and place of any hearing and must be given an opportunity, in person or by counsel, to be heard at the hearing, to cross-examine witnesses and to present evidence. 1998, c. 26, s. 2 Marginal note: Report to Minister"
CLC-12.14,Establishment and Organization: Report to Minister | Transmission of report to Governor in Council,12.14,Canada Labour Code / PART I-Industrial Relations / DIVISION II-Canada Industrial Relations Board,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339731,"Section 12.14 (1) After an inquiry has been completed, the judge shall submit a report containing the judge’s findings and recommendations, if any, to the Minister. Marginal note: Recommendations (2) The judge may, in the report, recommend that the member be suspended without pay or removed from office or that any other disciplinary measure or any remedial measure be taken if, in the opinion of the judge, the member (a) has become incapacitated from the proper execution of that office by reason of infirmity; (b) has been guilty of misconduct; (c) has failed in the proper execution of that office; or (d) has been placed, by conduct or otherwise, in a position that is incompatible with the due execution of that office. 1998, c. 26, s. 2 Marginal note: Transmission of report to Governor in Council Section 12.15 Where the Minister receives a report of an inquiry in which the judge makes a recommendation, the Minister shall send the report to the Governor in Council, who may, where the Governor in Council considers it appropriate, suspend the member without pay, remove the member from office or impose any other disciplinary measure or any remedial measure. 1998, c. 26, s. 2 Marginal note: Head office"
CLC-13,Establishment and Organization: Head office | Head office,13,Canada Labour Code / PART I-Industrial Relations / DIVISION II-Canada Industrial Relations Board,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339746,"Section 13 The head office of the Board must be in the National Capital Region as described in the schedule to the National Capital Act . R.S., 1985, c. L-2, s. 13 1998, c. 26, s. 2 2014, c. 20, s. 417 Section 13.1 [Repealed, 2014, c. 20, s. 417] Previous Version Marginal note: Panels"
CLC-14,Establishment and Organization: Panels,14,Canada Labour Code / PART I-Industrial Relations / DIVISION II-Canada Industrial Relations Board,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339751,"Section 14 (1) Subject to subsections (3) and (3.1), a panel of not fewer than three members, at least one of whom is the Chairperson or a Vice-Chairperson, may determine any matter that comes before the Board under this Act. Marginal note: Equal representation (2) Where a panel formed under subsection (1) is composed of one or more members representing employees, an equal number of members representing employers must also form part of the panel and vice versa. Marginal note: Exception — single member (3) The Chairperson or a Vice-Chairperson may alone determine a matter that comes before the Board under this Part with respect to (a) an uncontested application or question; (b) a question referred to in paragraph 16(p); (c) a complaint made under subsection 97(1) in respect of an alleged contravention of section 37 or 69 or any of paragraphs 95(f) to (i); (d) a request for an extension of time for instituting a proceeding; (e) a preliminary proceeding; or (f) any other matter, if the Chairperson determines that it is appropriate because of the possibility of prejudice to a party, such as undue delay, or if the parties consent to a determination by the Chairperson or a Vice-Chairperson. Marginal note: Single person — Parts II, III and IV (3.1) The Chairperson, a Vice-Chairperson or a member appointed under paragraph 9(2)(e) may alone determine a matter that comes before the Board under Part II, III or IV. Marginal note: Deemed panel (4) The Chairperson, a Vice-Chairperson or another member who determines a matter under subsection (3) or (3.1) is deemed to be a panel. Marginal note: Powers, duties and functions (5) A panel has all the powers, duties and functions that are conferred on the Board by this Act with respect to any matter assigned to the panel. Marginal note: Chairperson of the panel (6) The Chairperson is the chairperson of any panel formed under subsection (1) or, where the Chairperson is not a member of the panel, he or she designates a Vice-Chairperson to be the chairperson of the panel. R.S., 1985, c. L-2, s. 14 1998, c. 26, s. 2 2017, c. 20, s. 325 Previous Version Marginal note: Continuation of proceeding"
